manufacturer_name;transmission;color;odometer_value;year_produced;engine_fuel;engine_type;engine_capacity;price_usd;is_exchangeable;up_counter
Subaru;automatic;silver;190000;2010;gasoline;gasoline;2.5;10900.0;FALSE;13
Subaru;automatic;blue;290000;2002;gasoline;gasoline;3.0;5000.0;TRUE;54
Subaru;automatic;red;402000;2001;gasoline;gasoline;2.5;2800.0;TRUE;72
Subaru;mechanical;blue;10000;1999;gasoline;gasoline;3.0;9999.0;TRUE;42
Subaru;automatic;black;280000;2001;gasoline;gasoline;2.5;2134.11;TRUE;7
Subaru;automatic;silver;132449;2011;gasoline;gasoline;2.5;14700.0;TRUE;56
Subaru;automatic;black;318280;1998;gasoline;gasoline;2.5;3000.0;TRUE;147
Subaru;automatic;silver;350000;2004;gasoline;gasoline;2.5;4500.0;FALSE;29
Subaru;automatic;grey;179000;2010;gasoline;gasoline;2.5;12900.0;FALSE;33
Subaru;automatic;silver;571317;1999;gasoline;gasoline;2.5;4200.0;TRUE;11
Subaru;mechanical;other;280000;2003;gasoline;gasoline;2.0;6900.0;TRUE;6
Subaru;automatic;grey;256000;2008;gasoline;gasoline;3.6;8350.0;TRUE;61
Subaru;mechanical;other;321000;2002;gasoline;gasoline;2.0;4300.0;FALSE;2
Subaru;mechanical;red;49999;2001;gasoline;gasoline;1.3;1666.0;FALSE;94
Subaru;automatic;brown;154685;2011;gasoline;gasoline;2.5;8600.0;TRUE;34
Subaru;automatic;black;163219;2004;gasoline;gasoline;2.0;7300.0;TRUE;22
Subaru;automatic;other;318650;2005;gasoline;gasoline;3.0;7587.97;TRUE;166
Subaru;mechanical;blue;191000;2005;gasoline;gasoline;2.0;10950.0;FALSE;7
Subaru;automatic;silver;179000;2014;gasoline;gasoline;2.0;12700.0;FALSE;14
Subaru;automatic;black;159000;2013;gasoline;gasoline;2.0;16500.0;FALSE;34
Subaru;automatic;white;257495;2008;gasoline;gasoline;2.5;8700.0;FALSE;11
Subaru;automatic;silver;241402;2005;gasoline;gasoline;3.0;7500.0;FALSE;18
Subaru;automatic;black;188000;2006;gasoline;gasoline;3.0;8650.0;FALSE;25
Subaru;automatic;blue;240000;2001;gasoline;gasoline;2.5;3500.0;TRUE;42
Subaru;automatic;green;249448;2002;gasoline;gasoline;2.5;3800.0;TRUE;44
Subaru;automatic;other;250000;2007;gasoline;gasoline;3.0;7200.0;TRUE;62
Subaru;automatic;green;417000;1997;gasoline;gasoline;2.0;1850.0;TRUE;23
Subaru;automatic;violet;377000;1999;gasoline;gasoline;2.5;3800.0;FALSE;10
Subaru;mechanical;black;300000;1999;gasoline;gasoline;2.0;3000.0;FALSE;103
Subaru;mechanical;black;270000;2004;gasoline;gasoline;2.0;6200.0;FALSE;21
Subaru;mechanical;green;444444;1999;gasoline;gasoline;2.0;3700.0;FALSE;20
Subaru;automatic;black;299000;1994;gas;gasoline;2.2;650.0;FALSE;47
Subaru;mechanical;violet;340000;1993;gasoline;gasoline;1.6;2000.0;TRUE;5
Subaru;mechanical;black;123456;1991;gasoline;gasoline;2.2;800.0;FALSE;16
Subaru;mechanical;silver;118000;2011;gasoline;gasoline;2.5;14950.0;TRUE;132
Subaru;automatic;black;246113;2008;gasoline;gasoline;1.5;5350.0;FALSE;11
Subaru;automatic;green;128748;2016;gasoline;gasoline;3.6;17059.12;FALSE;11
Subaru;mechanical;red;100000;1994;gasoline;gasoline;2.0;1700.0;TRUE;42
Subaru;automatic;blue;342790;1999;gasoline;gasoline;2.5;3500.0;TRUE;40
Subaru;mechanical;silver;390000;1997;gasoline;gasoline;2.0;3000.0;TRUE;28
Subaru;automatic;black;215000;2008;gasoline;gasoline;2.5;8100.0;FALSE;1
Subaru;mechanical;grey;288500;2006;gas;gasoline;2.5;8500.0;FALSE;2
Subaru;automatic;grey;225000;2005;gas;gasoline;3.0;7500.0;FALSE;330
Subaru;automatic;green;310000;2001;gasoline;gasoline;2.5;3300.0;TRUE;1
Subaru;automatic;white;121000;2014;gasoline;gasoline;2.0;14950.0;TRUE;77
Subaru;automatic;blue;242000;2003;gasoline;gasoline;2.5;4490.0;TRUE;3
Subaru;mechanical;green;286;1998;gasoline;gasoline;2.5;2650.0;TRUE;2
Subaru;automatic;grey;209000;2007;gasoline;gasoline;2.0;6950.0;FALSE;5
Subaru;mechanical;silver;195000;2006;gasoline;gasoline;3.0;8200.0;FALSE;12
Subaru;automatic;black;126705;2014;gasoline;gasoline;2.5;16500.0;TRUE;1
Subaru;automatic;other;164153;2008;gasoline;gasoline;2.5;8500.0;FALSE;1
Subaru;mechanical;blue;143000;2009;gasoline;gasoline;1.5;6450.0;FALSE;8
Subaru;mechanical;white;463491;2002;gasoline;gasoline;2.5;3150.0;FALSE;15
Subaru;mechanical;green;321869;1998;gasoline;gasoline;2.2;1900.0;FALSE;27
Subaru;mechanical;other;250000;2005;gasoline;gasoline;2.0;4899.0;FALSE;22
Subaru;mechanical;black;260000;1999;gasoline;gasoline;2.5;2500.0;FALSE;3
Subaru;mechanical;green;300000;1999;gasoline;gasoline;2.0;1700.0;FALSE;11
Subaru;automatic;red;358047;1999;gasoline;gasoline;2.5;1800.0;TRUE;80
Subaru;mechanical;blue;296000;2003;gas;gasoline;2.0;6150.0;FALSE;6
Subaru;automatic;orange;183000;2012;gasoline;gasoline;2.0;12900.0;FALSE;21
Subaru;automatic;red;116000;2010;gasoline;gasoline;2.5;7250.0;FALSE;35
Subaru;mechanical;blue;450000;1995;gasoline;gasoline;2.0;900.0;TRUE;8
Subaru;automatic;brown;180000;2008;gasoline;gasoline;2.5;9400.0;TRUE;45
Subaru;mechanical;black;343455;2001;gasoline;gasoline;2.0;3300.0;TRUE;1
Subaru;automatic;white;202777;2009;gasoline;gasoline;2.5;8200.0;TRUE;11
Subaru;automatic;black;230000;2001;gas;gasoline;2.5;4200.0;TRUE;27
Subaru;mechanical;red;80000;1992;gasoline;gasoline;1.2;2100.0;TRUE;13
Subaru;automatic;green;408263;1999;gasoline;gasoline;2.5;1499.0;FALSE;23
Subaru;automatic;black;193;2010;gasoline;gasoline;2.5;9800.0;FALSE;4
Subaru;automatic;silver;300000;1998;gasoline;gasoline;2.5;2500.0;FALSE;50
Subaru;mechanical;green;285000;2001;gasoline;gasoline;2.5;3650.0;TRUE;3
Subaru;mechanical;red;363500;1994;gasoline;gasoline;2.0;1400.0;FALSE;107
Subaru;mechanical;silver;127138;2005;gasoline;gasoline;2.5;5400.0;FALSE;32
Subaru;automatic;grey;88000;2014;gasoline;gasoline;2.0;12950.0;TRUE;1
Subaru;automatic;black;128000;2012;gasoline;gasoline;2.0;15490.0;FALSE;17
Subaru;automatic;blue;177000;2010;gasoline;gasoline;2.5;13500.0;TRUE;35
Subaru;mechanical;silver;350000;2000;gasoline;gasoline;2.0;2000.0;TRUE;92
Subaru;mechanical;grey;173000;2005;gasoline;gasoline;2.5;7500.0;FALSE;23
Subaru;automatic;blue;280000;2004;gasoline;gasoline;2.5;5800.0;FALSE;5
Subaru;mechanical;green;270000;1998;gasoline;gasoline;2.5;2750.0;FALSE;3
Subaru;automatic;other;310000;1996;gasoline;gasoline;2.0;3299.0;TRUE;11
Subaru;mechanical;green;450000;1996;gasoline;gasoline;2.0;1400.0;TRUE;1
